order_id,warehouse,shipping_mode,distance_km,weight_kg,promised_days,actual_days,cost_inr,delayed,customer_rating,distance_norm,cost_zscore
QC100000,Bangalore,Road,1268.3,2.72,3.4,2.85,9748.45,0,4.7,0.905627830086969,0.5324639056716758
QC100001,Hyderabad,Road,1037.6,1.57,3.1,3.45,7958.34,1,2.5,0.7398116869115215,0.17900659198056348
QC100002,Delhi-NCR,Rail,274.2,4.22,1.3,1.62,1618.51,1,2.9,0.1911162222381945,-1.072793175105439
QC100003,Hyderabad,Road,862.4,2.9,2.8,2.23,6563.38,0,4.7,0.6138862933946669,-0.09642833341874374
QC100004,Hyderabad,Road,614.2,7.62,2.0,2.7,4851.89,1,3.2,0.4354919859124561,-0.43436212397306806
QC100005,Pune,Air,811.5,0.82,2.6,1.39,16033.09,0,3.8,0.5773018040681378,1.773366404353718
QC100006,Delhi-NCR,Road,1035.4,3.0,3.3,3.02,8067.48,0,5.0,0.7382304319701001,0.20055629072323727
QC100007,Delhi-NCR,Air,1130.2,4.13,3.4,0.99,18781.1425,0,4.0,0.8063681449004529,2.3159695150743698
QC100008,Delhi-NCR,Road,1182.5,1.84,3.5,3.33,9020.25,0,4.4,0.8439588873715231,0.3886807773556124
QC100009,Hyderabad,Rail,361.5,4.67,1.6,1.63,2027.79,1,3.2,0.2538632933227916,-0.9919808175701487
QC100010,Bangalore,Air,51.3,6.54,1.0,0.46,1250.97,0,3.9,0.030906346582333072,-1.1453639674444747
QC100011,Delhi-NCR,Road,1037.1,3.22,3.2,3.4,8042.06,1,3.4,0.7394523107884712,0.1955371103857006
QC100012,Hyderabad,Rail,156.0,1.04,1.0,1.49,833.82,1,3.5,0.10615970674908358,-1.2277302568938646
QC100013,Pune,Road,446.4,2.52,1.9,0.94,3437.98,0,4.2,0.3148853590167469,-0.7135387278694769
QC100014,Bangalore,Rail,13.3,5.6,0.7,0.76,98.99,1,3.1,0.0035937612305038456,-1.372822479058782
QC100015,Pune,Road,956.9,4.05,3.0,2.64,7471.22,0,4.7,0.6818083806511895,0.0828247223495271
QC100016,Bangalore,Road,240.6,2.73,1.2,2.1,1950.41,1,2.3,0.16696614676920865,-1.0072595026416908
QC100017,Hyderabad,Road,920.2,6.59,3.1,2.77,7199.35,0,4.0,0.6554301732192914,0.029143976544407514
QC100018,Mumbai,Road,1388.5,4.68,3.9,3.23,10754.07,0,4.5,0.9920218500682815,0.7310236275848855
QC100019,Bangalore,Road,109.2,4.9,0.8,0.81,877.11,1,3.0,0.07252210163156761,-1.2191826441160531
QC100020,Pune,Air,115.3,2.35,1.1,0.41,2232.37,0,4.1,0.0769064903327823,-0.9515864858056606
QC100021,Hyderabad,Air,481.8,2.22,1.8,0.3,9613.23,0,4.9,0.3403291885287142,0.5057647095567372
QC100022,Bangalore,Rail,1214.0,1.08,3.4,3.64,6628.35,1,5.0,0.8665995831236973,-0.08360000350018475
QC100023,Mumbai,Road,308.0,2.57,1.5,1.09,2498.88,0,5.0,0.2154100481564005,-0.8989640722825708
QC100024,Mumbai,Air,509.6,5.27,1.8,0.77,10172.89,0,3.5,0.36031050097031553,0.616269606004647
QC100025,Delhi-NCR,Road,103.4,2.66,1.1,0.56,818.08,0,3.3,0.06835333860418315,-1.230838120722064
QC100026,Delhi-NCR,Road,1070.3,3.92,3.2,2.8,18781.1425,0,4.8,0.7633148853590168,2.3159695150743698
QC100027,Pune,Road,576.4,5.85,2.1,2.22,4555.0,1,2.8,0.40832315100984695,-0.49298307009467757
QC100028,Bangalore,Road,1064.9,3.76,3.1,3.1,8197.24,1,2.8,0.7594336232300727,0.22617740955088406
QC100029,Bangalore,Air,1265.8,3.98,3.7,1.63,18781.1425,0,4.9,0.9038309494717172,2.3159695150743698
QC100030,Delhi-NCR,Road,332.0,1.33,1.6,0.74,2613.6,0,4.2,0.23266010206281895,-0.8763126022462912
QC100031,Bangalore,Road,1131.9,2.48,3.3,2.99,8666.12,0,4.9,0.8075900237188243,0.31875779022217743
QC100032,Bangalore,Road,90.3,8.47,0.8,0.3,926.72,0,4.1,0.058937684180263065,-1.209387147005699
QC100033,Mumbai,Road,1259.2,3.2,3.4,2.94,9728.47,0,4.6,0.8990871846474521,0.5285188536203779
QC100034,Delhi-NCR,Road,913.9,9.37,2.8,3.2,7048.54,1,3.0,0.6509020340688565,-0.0006334658908376743
QC100035,Hyderabad,Rail,1224.9,1.95,3.3,4.31,6618.64,1,2.8,0.8744339826061958,-0.08551724351110067
QC100036,Delhi-NCR,Road,8.3,3.46,0.9,0.86,40.0,0,5.0,0.0,-1.384470057662688
QC100037,Hyderabad,Road,243.4,2.39,1.5,1.72,1893.23,1,3.9,0.1689786530582908,-1.0185496966503595
QC100038,Mumbai,Road,550.5,4.29,2.2,1.95,4258.65,0,4.0,0.38970746783583704,-0.5514973931878736
QC100039,Pune,Air,536.3,5.14,2.1,0.3,10761.35,0,4.3,0.3795011859412061,0.732461063967941
QC100040,Bangalore,Rail,323.6,3.0,1.6,1.25,1772.16,0,5.0,0.2266225831955725,-1.04245497452076
QC100041,Mumbai,Air,539.2,5.61,2.3,0.8,10800.4,0,3.9,0.38158556745489836,0.7401714885226542
QC100042,Bangalore,Air,187.4,2.98,1.3,0.38,3798.29,0,3.9,0.12872852727664774,-0.6423954994108657
QC100043,Pune,Road,582.6,2.68,2.2,1.64,4520.56,0,4.6,0.4127794149356717,-0.49978324990682416
QC100044,Pune,Road,1124.9,1.05,3.0,2.66,8692.79,0,5.0,0.8025587579961189,0.3240237831254862
QC100045,Mumbai,Rail,674.9,4.41,2.5,3.29,3847.94,1,3.3,0.4791202472507727,-0.6325921042984068
QC100046,Pune,Air,33.1,3.33,0.9,0.3,722.04,0,4.9,0.017825055703299075,-1.2498012237754488
QC100047,Hyderabad,Air,594.7,2.88,2.1,1.9,11851.21,0,3.9,0.42147631711349104,0.9476539783136488
QC100048,Pune,Air,45.8,2.68,0.9,0.3,902.26,0,4.6,0.026953209228778842,-1.2142167752927229
QC100049,Bangalore,Air,1353.0,2.94,3.7,1.81,18781.1425,0,4.2,0.9665061453317042,2.3159695150743698
QC100050,Bangalore,Air,185.4,2.61,1.4,0.53,3779.93,0,5.0,0.1272910227844462,-0.646020682376923
QC100051,Bangalore,Rail,993.1,2.19,3.0,2.59,5456.25,0,5.0,0.7078272119600374,-0.31503121017315605
QC100052,Bangalore,Rail,1362.1,3.47,3.7,3.63,7356.02,0,5.0,0.9730467907712211,0.060078476287991185
